2025-10-24 11:21:36.416 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.417 [Debug] [Hook] TM:PE priority sign query | nodeId=27021 segmentId=21137 signType=None
2025-10-24 11:21:36.418 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.419 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.419 [Debug] [Hook] TM:PE priority sign query | nodeId=32477 segmentId=5623 signType=None
2025-10-24 11:21:36.420 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.420 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.421 [Debug] [Hook] TM:PE priority sign query | nodeId=32477 segmentId=34949 signType=None
2025-10-24 11:21:36.421 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.422 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.422 [Debug] [Hook] TM:PE priority sign query | nodeId=7373 segmentId=34957 signType=None
2025-10-24 11:21:36.423 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.423 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.424 [Debug] [Hook] TM:PE priority sign query | nodeId=7373 segmentId=17624 signType=None
2025-10-24 11:21:36.424 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.425 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.426 [Debug] [Hook] TM:PE priority sign query | nodeId=6943 segmentId=12897 signType=None
2025-10-24 11:21:36.426 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.426 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.426 [Debug] [Hook] TM:PE priority sign query | nodeId=6943 segmentId=34957 signType=None
2025-10-24 11:21:36.427 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.427 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.428 [Debug] [Hook] TM:PE priority sign query | nodeId=28715 segmentId=17742 signType=None
2025-10-24 11:21:36.429 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.430 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.430 [Debug] [Hook] TM:PE priority sign query | nodeId=28715 segmentId=34959 signType=None
2025-10-24 11:21:36.431 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.431 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.432 [Debug] [Hook] TM:PE priority sign query | nodeId=14440 segmentId=34959 signType=None
2025-10-24 11:21:36.432 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.433 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.433 [Debug] [Hook] TM:PE priority sign query | nodeId=14440 segmentId=36113 signType=None
2025-10-24 11:21:36.434 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:21:36.434 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
