2025-10-23 20:33:10.234 [Debug] [Synchronization] Lane mapping broadcast | segment=32702 laneIndex=2 hostLane=245165 guid=LaneGuid(Segment=32702, Build=4615, Prefab=0, Lane=2, Seq=1) version=9 reason=priority_signs
2025-10-23 20:33:10.234 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.234 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.235 [Debug] [Synchronization] Lane mapping broadcast | segment=32702 laneIndex=3 hostLane=199858 guid=LaneGuid(Segment=32702, Build=4615, Prefab=0, Lane=3, Seq=1) version=10 reason=priority_signs
2025-10-23 20:33:10.235 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.236 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.236 [Debug] [Synchronization] Lane mapping broadcast | segment=32702 laneIndex=4 hostLane=176111 guid=LaneGuid(Segment=32702, Build=4615, Prefab=0, Lane=4, Seq=1) version=11 reason=priority_signs
2025-10-23 20:33:10.236 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.237 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.237 [Debug] [Synchronization] Lane mapping broadcast | segment=32702 laneIndex=5 hostLane=46069 guid=LaneGuid(Segment=32702, Build=4615, Prefab=0, Lane=5, Seq=1) version=12 reason=priority_signs
2025-10-23 20:33:10.238 [Debug] [Hook] TM:PE priority sign query | nodeId=26916 segmentId=15223 signType=None
2025-10-23 20:33:10.238 [Debug] [Network] Dispatch command | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.239 [Debug] [Network] Dispatch complete | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.239 [Debug] [Hook] TM:PE priority sign query | nodeId=26916 segmentId=32702 signType=None
2025-10-23 20:33:10.240 [Debug] [Network] Dispatch command | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.240 [Debug] [Network] Dispatch complete | direction=all type=PrioritySignApplied
2025-10-23 20:33:10.240 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.242 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.242 [Debug] [Synchronization] Lane mapping broadcast | segment=27634 laneIndex=0 hostLane=58738 guid=LaneGuid(Segment=27634, Build=1749, Prefab=21, Lane=0, Seq=1) version=13 reason=junction_restrictions
2025-10-23 20:33:10.243 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.243 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.243 [Debug] [Synchronization] Lane mapping broadcast | segment=27634 laneIndex=1 hostLane=189551 guid=LaneGuid(Segment=27634, Build=1749, Prefab=21, Lane=1, Seq=1) version=14 reason=junction_restrictions
2025-10-23 20:33:10.244 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.244 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.244 [Debug] [Synchronization] Lane mapping broadcast | segment=27634 laneIndex=2 hostLane=252385 guid=LaneGuid(Segment=27634, Build=1749, Prefab=21, Lane=2, Seq=1) version=15 reason=junction_restrictions
2025-10-23 20:33:10.245 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.245 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.245 [Debug] [Synchronization] Lane mapping broadcast | segment=27634 laneIndex=3 hostLane=11789 guid=LaneGuid(Segment=27634, Build=1749, Prefab=21, Lane=3, Seq=1) version=16 reason=junction_restrictions
2025-10-23 20:33:10.246 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.246 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.246 [Debug] [Synchronization] Lane mapping broadcast | segment=27634 laneIndex=4 hostLane=113789 guid=LaneGuid(Segment=27634, Build=1749, Prefab=21, Lane=4, Seq=1) version=17 reason=junction_restrictions
2025-10-23 20:33:10.247 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.247 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.248 [Debug] [Synchronization] Lane mapping broadcast | segment=27634 laneIndex=5 hostLane=162103 guid=LaneGuid(Segment=27634, Build=1749, Prefab=21, Lane=5, Seq=1) version=18 reason=junction_restrictions
2025-10-23 20:33:10.249 [Debug] [Hook] TM:PE junction restriction query | nodeId=30720 state=UTurns=True, LaneChange=False, Blocked=True, Pedestrians=True, NearTurnOnRed=False, FarTurnOnRed=False
2025-10-23 20:33:10.249 [Debug] [Network] Dispatch command | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.250 [Debug] [Network] Dispatch complete | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.250 [Debug] [Hook] TM:PE junction restriction query | nodeId=26916 state=UTurns=False, LaneChange=False, Blocked=False, Pedestrians=False, NearTurnOnRed=False, FarTurnOnRed=False
2025-10-23 20:33:10.251 [Debug] [Network] Dispatch command | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.251 [Debug] [Network] Dispatch complete | direction=all type=JunctionRestrictionsApplied
2025-10-23 20:33:10.252 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.253 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.253 [Debug] [Synchronization] Lane mapping broadcast | segment=24388 laneIndex=0 hostLane=21440 guid=LaneGuid(Segment=24388, Build=1746, Prefab=21, Lane=0, Seq=1) version=19 reason=priority_signs
2025-10-23 20:33:10.254 [Debug] [Network] Dispatch command | direction=all type=LaneMappingChanged
2025-10-23 20:33:10.254 [Debug] [Network] Dispatch complete | direction=all type=LaneMappingChanged
