2025-10-24 11:52:22.758 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.759 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.760 [Debug] [Hook] TM:PE priority sign query | nodeId=9588 segmentId=15598 signType=None
2025-10-24 11:52:22.761 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.762 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.763 [Debug] [Hook] TM:PE priority sign query | nodeId=2344 segmentId=15598 signType=None
2025-10-24 11:52:22.764 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.765 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.767 [Debug] [Hook] TM:PE priority sign query | nodeId=2344 segmentId=20762 signType=None
2025-10-24 11:52:22.768 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.769 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.771 [Debug] [Hook] TM:PE priority sign query | nodeId=16781 segmentId=15647 signType=None
2025-10-24 11:52:22.772 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.773 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.775 [Debug] [Hook] TM:PE priority sign query | nodeId=16781 segmentId=21108 signType=None
2025-10-24 11:52:22.777 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.778 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.778 [Debug] [Hook] TM:PE priority sign query | nodeId=7363 segmentId=28931 signType=None
2025-10-24 11:52:22.779 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.780 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.781 [Debug] [Hook] TM:PE priority sign query | nodeId=7363 segmentId=15647 signType=None
2025-10-24 11:52:22.783 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.784 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.785 [Debug] [Hook] TM:PE priority sign query | nodeId=26651 segmentId=15672 signType=None
2025-10-24 11:52:22.786 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.788 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.789 [Debug] [Hook] TM:PE priority sign query | nodeId=26651 segmentId=11124 signType=None
2025-10-24 11:52:22.790 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.792 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.793 [Debug] [Hook] TM:PE priority sign query | nodeId=15839 segmentId=3081 signType=None
2025-10-24 11:52:22.794 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.798 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.799 [Debug] [Hook] TM:PE priority sign query | nodeId=15839 segmentId=15672 signType=None
2025-10-24 11:52:22.800 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.801 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.802 [Debug] [Hook] TM:PE priority sign query | nodeId=13794 segmentId=15705 signType=None
2025-10-24 11:52:22.803 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.804 [Debug] [Network] Dispatch complete | direction=server type=PrioritySignApplied
2025-10-24 11:52:22.805 [Debug] [Hook] TM:PE priority sign query | nodeId=13794 segmentId=16084 signType=None
2025-10-24 11:52:22.807 [Debug] [Network] Dispatch command | direction=server type=PrioritySignApplied
